Course,Previous qualification,Previous qualification (grade),Nationality,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship,Age at enrollment,International,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
171,1,142,Portugal,142,1,0,0,1,0,1,18,0,0,0,13.9,-0.3,0.79,Graduate
9254,40,130,Portugal,130,0,0,0,1,0,0,39,0,13.76923077,14.58333333,13.9,-0.3,0.79,Graduate
9003,1,130,Portugal,144,0,0,0,1,0,0,29,0,15.44444444,15.30769231,15.5,2.8,-4.06,Graduate
9853,1,125,Portugal,128.5,1,0,0,1,0,0,18,0,11.5,12.71428571,13.9,-0.3,0.79,Enrolled
9070,3,140,Portugal,140,0,0,0,0,0,0,23,0,10,0,10.8,1.4,1.74,Dropout
9853,1,120,Portugal,113.9,1,0,0,1,0,0,21,0,12.25,10.33333333,12.7,3.7,-1.7,Dropout
9238,1,147,Portugal,137.2,0,0,0,0,0,0,18,0,14.5,15.16666667,10.8,1.4,1.74,Graduate
9085,40,140,Portugal,140,1,0,0,1,0,0,23,0,15.57142857,16.375,12.4,0.5,1.79,Graduate
9130,1,161,Portugal,152.3,0,0,0,1,0,0,18,0,15.57142857,14.71428571,11.1,0.6,2.02,Graduate
8014,19,133.1,Portugal,112.5,0,0,0,1,0,0,32,0,13.8,12.16666667,9.4,-0.8,-3.12,Graduate
9147,1,150,Portugal,101,0,0,1,0,0,0,29,0,10.66666667,14.8,10.8,1.4,1.74,Dropout
9238,1,113,Portugal,112.3,1,0,1,1,0,1,20,0,11.6,11.75,8.9,1.4,3.51,Graduate
9238,1,140,Portugal,114,1,0,0,0,0,0,28,0,13,0,9.4,-0.8,-3.12,Dropout
9147,3,130,Portugal,130,0,0,0,1,0,0,27,0,12,13.625,10.8,1.4,1.74,Graduate
9500,1,120,Portugal,121.5,0,0,1,1,0,0,22,0,12.33333333,12.33333333,7.6,2.6,0.32,Graduate
9003,19,133.1,Portugal,120,0,0,1,1,0,0,37,0,12.875,12.9,16.2,0.3,-0.92,Enrolled
8014,3,130,Portugal,130,0,0,0,0,0,0,28,0,11,0,12.7,3.7,-1.7,Dropout
9003,1,120,Portugal,125.7,0,0,1,0,0,0,43,0,12.25,10.5,8.9,1.4,3.51,Dropout
9556,1,140,Portugal,128,1,0,0,0,0,0,32,0,0,0,10.8,1.4,1.74,Dropout
9238,1,123,Portugal,113.2,0,0,0,1,0,1,20,0,10.75,11.5,15.5,2.8,-4.06,Enrolled
9500,19,133.1,Portugal,120,0,0,0,1,0,1,35,0,13.63,13.63,9.4,-0.8,-3.12,Graduate
9670,1,130,Portugal,117.8,1,0,0,1,0,0,21,0,13,11.5,7.6,2.6,0.32,Graduate
9500,1,126,Portugal,121.3,1,0,0,1,0,1,18,0,13.53333333,12.22857143,12.4,0.5,1.79,Enrolled
9500,1,176,Portugal,169.7,0,0,0,1,0,1,18,0,16.9,16.37777778,16.2,0.3,-0.92,Graduate
9238,1,124,Portugal,117.7,1,0,0,1,0,0,18,0,12,12,16.2,0.3,-0.92,Graduate
8014,39,120,Portugal,121.8,1,0,0,1,0,0,22,0,12.5,13.28571429,12.4,0.5,1.79,Graduate
9500,1,140,Portugal,128.3,1,0,0,1,0,0,19,0,12.76428571,12.76428571,10.8,1.4,1.74,Graduate
9147,1,143,Portugal,132.2,1,0,0,1,0,1,18,0,13.75,12.16666667,13.9,-0.3,0.79,Graduate
171,1,136,Portugal,134.3,1,0,1,1,0,0,19,0,0,0,12.4,0.5,1.79,Dropout
9500,1,132,Portugal,123.4,0,0,0,1,0,1,18,0,14.60428571,15.68333333,11.1,0.6,2.02,Graduate
9991,19,133.1,Portugal,121.7,0,0,1,0,0,0,31,0,0,0,16.2,0.3,-0.92,Dropout
8014,19,100,Portugal,130,0,0,1,1,0,1,33,0,13.83333333,12.5,9.4,-0.8,-3.12,Graduate
9500,1,137,Portugal,126.5,1,0,0,1,0,1,19,0,13.57625,13.57625,9.4,-0.8,-3.12,Graduate
9238,1,153,Portugal,159.7,1,0,0,1,0,1,18,0,15.14285714,15.83333333,12.7,3.7,-1.7,Graduate
9147,1,160,Portugal,151.3,0,0,0,1,0,0,23,0,10.66666667,11.6,7.6,2.6,0.32,Graduate
9238,1,145,Portugal,138,1,0,0,1,0,0,20,0,11.2,12,9.4,-0.8,-3.12,Graduate
9500,1,137,Portugal,126.5,1,0,0,1,0,0,18,0,13.76375,13.76375,9.4,-0.8,-3.12,Graduate
9085,42,140,Portugal,140,1,0,1,1,0,0,21,0,13.25,12.2,8.9,1.4,3.51,Enrolled
9238,1,120,Portugal,112.3,0,0,0,1,0,1,22,0,10.71428571,12.2,12.7,3.7,-1.7,Graduate
9238,1,122,Portugal,127.3,1,0,1,1,0,0,20,0,12.16666667,11.66666667,9.4,-0.8,-3.12,Graduate
9500,3,130,Portugal,130,1,0,0,1,0,0,23,0,14.35714286,14.35714286,7.6,2.6,0.32,Graduate
9773,1,133.1,Portugal,115,1,0,0,1,0,0,19,0,12.83333333,12.66666667,16.2,0.3,-0.92,Graduate
9500,1,150,Portugal,131.5,1,0,0,1,0,0,19,0,13.92571429,13.92571429,10.8,1.4,1.74,Graduate
9991,1,133.1,Portugal,125.7,0,0,0,1,0,0,26,0,12,11,10.8,1.4,1.74,Dropout
9500,1,141,Portugal,126.8,1,0,0,1,0,0,18,0,13.44285714,13.74444444,16.2,0.3,-0.92,Graduate
9119,1,146,Portugal,132.4,1,0,0,1,1,0,18,0,16,0,9.4,-0.8,-3.12,Dropout
9003,39,150,Portugal,150,1,0,0,1,1,0,20,0,13.125,13.2,16.2,0.3,-0.92,Graduate
9670,1,133.1,Portugal,95,0,0,0,1,1,0,19,0,0,0,15.5,2.8,-4.06,Dropout
9991,1,120,Portugal,128.2,0,0,0,0,1,0,32,0,11.4,11,10.8,1.4,1.74,Dropout
9130,1,150,Portugal,130,0,0,0,0,1,0,31,0,11,11.66666667,9.4,-0.8,-3.12,Dropout
9119,19,133.1,Portugal,100,0,0,0,1,1,0,25,0,11,10,13.9,-0.3,0.79,Enrolled
9085,39,140,Portugal,159.9,1,0,0,1,0,0,21,0,13.66666667,13,16.2,0.3,-0.92,Graduate
9991,1,140,Portugal,100,0,0,0,0,0,0,31,0,11.75,10,12.7,3.7,-1.7,Dropout
9853,1,133.1,Portugal,116.5,0,0,0,1,0,0,34,0,10,13,16.2,0.3,-0.92,Dropout
9238,1,128,Portugal,120,0,0,0,1,0,1,18,0,13.5,12.83333333,11.1,0.6,2.02,Graduate
9238,1,117,Portugal,117,1,0,1,1,0,0,19,0,0,0,12.4,0.5,1.79,Dropout
9670,42,140,Portugal,140,1,0,1,1,0,0,21,0,12,11,8.9,1.4,3.51,Enrolled
9853,1,124,Portugal,118.1,1,0,0,0,0,0,18,0,13,11.8,9.4,-0.8,-3.12,Dropout
9254,1,158,Portugal,153.5,1,0,0,1,0,0,20,0,14.83333333,16,11.1,0.6,2.02,Graduate
9773,1,137,Portugal,127.9,1,0,0,1,0,0,20,0,11.83333333,12.85714286,15.5,2.8,-4.06,Graduate
9670,1,123,Portugal,118.8,1,1,0,1,0,1,18,0,12,12.33333333,11.1,0.6,2.02,Graduate
9238,1,126,Portugal,126.7,1,0,0,1,0,0,19,0,12.75,11.33333333,7.6,2.6,0.32,Graduate
9085,1,170,Portugal,170,1,0,0,1,0,0,19,0,0,14.75,12.7,3.7,-1.7,Enrolled
9130,1,133.1,Portugal,110,1,0,0,1,0,1,30,0,0,10,11.1,0.6,2.02,Dropout
9238,1,115,Portugal,115,1,0,0,1,0,0,19,0,12,12.85714286,11.1,0.6,2.02,Graduate
9556,1,132,Portugal,119,1,0,0,1,0,0,19,0,11.67777778,13.8,12.7,3.7,-1.7,Graduate
9500,1,132,Portugal,121.8,1,0,0,1,0,1,19,0,13.6,13.6,12.7,3.7,-1.7,Graduate
9085,1,143,Portugal,133.4,1,0,0,1,0,0,19,0,16,15.875,12.4,0.5,1.79,Graduate
9238,1,137,Portugal,131.4,1,0,0,1,0,0,20,0,11.8,11.5,7.6,2.6,0.32,Graduate
9119,1,130,Portugal,135,0,0,1,1,1,0,25,0,0,14,13.9,-0.3,0.79,Dropout
9773,1,121,Portugal,122.8,0,0,0,1,1,0,19,0,0,0,12.4,0.5,1.79,Dropout
9853,1,130,Portugal,140,0,0,1,1,0,1,34,0,16.14285714,16.2,9.4,-0.8,-3.12,Graduate
9500,1,135,Portugal,125.3,1,0,0,1,0,1,18,0,11.78571429,11.78571429,12.7,3.7,-1.7,Graduate
9500,1,137,Portugal,126.3,1,0,0,1,0,1,18,0,13.42375,13.42375,9.4,-0.8,-3.12,Graduate
9670,1,100,Portugal,100,0,0,0,1,0,0,20,0,12.5,14.16666667,11.1,0.6,2.02,Graduate
9500,1,127,Portugal,121.3,1,0,0,1,0,1,20,0,12.46428571,12.46428571,10.8,1.4,1.74,Graduate
9991,1,140,Portugal,135,0,0,1,1,0,0,23,0,12.375,12.6,8.9,1.4,3.51,Enrolled
9670,1,140,Portugal,120,0,0,0,1,0,0,28,0,10,0,10.8,1.4,1.74,Dropout
9773,1,121,Portugal,113.7,0,0,0,1,0,0,18,0,12.6,12.42857143,15.5,2.8,-4.06,Enrolled
9147,1,131,Portugal,129.7,1,0,0,1,0,0,19,0,12.6,12.4,16.2,0.3,-0.92,Graduate
9147,1,151,Portugal,132.1,1,0,0,1,0,0,34,0,10,12,7.6,2.6,0.32,Dropout
9853,1,130,Portugal,120.3,0,0,0,1,0,0,35,0,0,0,8.9,1.4,3.51,Dropout
9991,40,120,Portugal,120,0,0,0,1,0,0,32,0,11.6,12.33333333,12.4,0.5,1.79,Graduate
9254,1,136,Portugal,123.1,1,0,0,1,0,0,19,0,12.16666667,13.5,11.1,0.6,2.02,Graduate
9670,1,125,Portugal,119.4,1,0,0,1,0,0,18,0,13.6,12.66666667,11.1,0.6,2.02,Graduate
9147,1,133.1,Portugal,140,0,0,0,0,0,0,35,0,12.5,11.8,9.4,-0.8,-3.12,Dropout
8014,1,133.1,Portugal,116.5,0,0,0,1,1,1,24,0,12.25,11.5,12.4,0.5,1.79,Enrolled
9238,1,120,Portugal,113,1,0,0,1,0,1,20,0,11.71428571,12.625,13.9,-0.3,0.79,Graduate
9773,1,143,Italy,133.9,1,0,0,1,1,1,18,1,13.5,13,16.2,0.3,-0.92,Graduate
9500,1,133.1,Portugal,115.5,1,0,0,1,1,1,20,0,13.02428571,13.02428571,10.8,1.4,1.74,Graduate
9254,1,121,Portugal,116.5,1,0,0,0,1,0,18,0,0,0,9.4,-0.8,-3.12,Dropout
9119,1,168,Portugal,171.2,0,0,0,1,1,1,18,0,17.33333333,18.57142857,12.4,0.5,1.79,Graduate
9670,1,124,Portugal,119.1,0,0,0,1,1,1,20,0,11,11.5,9.4,-0.8,-3.12,Graduate
9853,1,127,Portugal,121.1,1,0,0,1,1,0,19,0,13.66666667,12.5,12.4,0.5,1.79,Dropout
9070,1,129,Portugal,132.9,1,0,0,1,1,1,20,0,11.375,13.8,7.6,2.6,0.32,Enrolled
9238,1,137,Portugal,132.8,0,0,0,1,1,0,19,0,12.83333333,11.83333333,10.8,1.4,1.74,Graduate
9773,1,120,Portugal,126.7,1,0,0,1,1,0,20,0,12.6,11.5,7.6,2.6,0.32,Graduate
9500,1,110,Portugal,105.8,1,0,0,1,1,0,22,0,14.33333333,13.77142857,11.1,0.6,2.02,Graduate
9119,1,120,Portugal,117.2,0,0,0,1,1,1,18,0,13.5,13.625,11.1,0.6,2.02,Enrolled
9500,1,143,Portugal,140,0,0,0,1,1,0,19,0,14.28571429,14.28571429,12.7,3.7,-1.7,Graduate
9003,39,120,Portugal,120,0,0,0,1,1,0,22,0,11.75,10,13.9,-0.3,0.79,Dropout
9119,1,124,Italy,119.5,1,0,0,1,1,0,20,1,14.8,17.6,8.9,1.4,3.51,Graduate
9003,1,168,Portugal,153.9,0,0,1,0,1,0,34,0,0,0,12.4,0.5,1.79,Dropout
8014,19,133.1,Portugal,130,0,0,0,1,1,0,24,0,10,0,16.2,0.3,-0.92,Dropout
9670,1,150,Portugal,107,1,0,0,1,1,0,26,0,0,0,7.6,2.6,0.32,Dropout
9500,1,140,Portugal,132.8,0,0,0,1,1,0,35,0,12.6,12.38,12.4,0.5,1.79,Dropout
9991,1,145,Portugal,127.5,1,0,0,1,1,0,22,0,12.42857143,11.8,7.6,2.6,0.32,Graduate
9254,1,118,Portugal,123.3,1,0,0,1,1,0,26,0,10,12,9.4,-0.8,-3.12,Enrolled
9147,1,123,Portugal,122,0,0,0,1,1,0,19,0,12.33333333,0,8.9,1.4,3.51,Dropout
9254,1,120,Portugal,114.8,1,0,0,0,1,0,19,0,0,0,8.9,1.4,3.51,Dropout
171,39,140,Portugal,140,0,0,1,1,1,0,20,0,0,0,15.5,2.8,-4.06,Graduate
9670,1,126,Portugal,111,0,0,1,1,1,0,21,0,12.1,13.33333333,11.1,0.6,2.02,Graduate
9773,1,137,Portugal,133.2,1,0,0,1,0,1,19,0,14.71428571,15,13.9,-0.3,0.79,Graduate
9773,1,130,Portugal,123,1,0,0,1,0,0,18,0,12.66666667,12.83333333,12.7,3.7,-1.7,Graduate
9003,42,150,Portugal,150,0,0,0,1,0,1,23,0,14.38461538,13.3,8.9,1.4,3.51,Graduate
9147,1,147,Portugal,132.3,1,0,0,1,0,1,18,0,13.4,12.2,12.7,3.7,-1.7,Graduate
9500,1,140,Portugal,126,1,0,0,1,0,0,18,0,13.31428571,13.31428571,12.7,3.7,-1.7,Graduate
9500,1,132,Portugal,119.3,1,0,0,1,0,0,19,0,11.98857143,11.98857143,10.8,1.4,1.74,Graduate
9147,42,130,Portugal,133.8,1,0,0,1,0,0,21,0,11.54545455,12.88888889,8.9,1.4,3.51,Graduate
9085,1,130,Portugal,126.5,1,0,0,1,0,1,18,0,16.46153846,13.875,15.5,2.8,-4.06,Graduate
9773,1,151,Portugal,138.4,1,0,0,1,0,1,24,0,13.66666667,12.83333333,10.8,1.4,1.74,Graduate
9500,1,144,Portugal,129,1,0,0,1,0,0,18,0,12.65,13.41111111,16.2,0.3,-0.92,Dropout
9670,1,127,Portugal,118.3,1,0,0,1,0,0,18,0,12.33333333,12,13.9,-0.3,0.79,Enrolled
9500,1,131,Portugal,129.8,1,0,0,1,0,0,20,0,14.37,14.65,12.4,0.5,1.79,Graduate
9085,1,123,Portugal,113.6,1,0,0,1,0,0,19,0,12,11.75,9.4,-0.8,-3.12,Enrolled
9773,1,130,Portugal,128.3,1,0,0,0,0,1,18,0,12,10.66666667,7.6,2.6,0.32,Dropout
9254,1,130,Portugal,130,0,0,0,1,0,1,19,0,12,11,10.8,1.4,1.74,Dropout
9853,1,131,Portugal,121.9,1,0,0,1,0,0,19,0,12.6,11.2,10.8,1.4,1.74,Graduate
9238,3,135,Portugal,129.4,0,0,1,1,0,0,18,0,12.16666667,12.33333333,10.8,1.4,1.74,Graduate
9853,1,123,Portugal,115.3,1,0,0,1,0,0,20,0,13.5,14,11.1,0.6,2.02,Enrolled
9500,1,145,Portugal,125.5,1,0,0,1,0,1,18,0,13.76375,13.76375,9.4,-0.8,-3.12,Graduate
9556,1,118,Portugal,117.8,1,0,0,1,0,1,19,0,12.4,12.8,11.1,0.6,2.02,Graduate
9147,1,125,Portugal,118.7,1,0,0,1,0,0,18,0,10.66666667,12,13.9,-0.3,0.79,Enrolled
9500,1,152,Portugal,139,1,0,0,1,0,0,18,0,14.33333333,14.33333333,7.6,2.6,0.32,Graduate
9085,1,101,Portugal,98.9,1,0,0,1,0,0,21,0,12.5,12.66666667,11.1,0.6,2.02,Enrolled
9254,1,137,Portugal,137.7,1,0,1,0,0,0,19,0,10,0,7.6,2.6,0.32,Dropout
9500,1,123,Portugal,113.6,1,0,0,1,0,0,21,0,14.69625,14.62222222,12.4,0.5,1.79,Graduate
9085,1,120,Portugal,113.4,0,0,0,1,0,0,18,0,11.5,13.75,11.1,0.6,2.02,Enrolled
9556,1,131,Portugal,128.5,0,0,0,1,0,1,18,0,12.85555556,13.9125,12.7,3.7,-1.7,Graduate
9500,1,141,Portugal,142.8,0,0,0,1,0,0,18,0,13.7,13.99444444,11.1,0.6,2.02,Graduate
9130,1,144,Portugal,137.7,0,0,0,0,0,0,23,0,0,12,10.8,1.4,1.74,Dropout
9238,1,107,Portugal,103.5,1,0,0,1,0,0,20,0,11.2,12,16.2,0.3,-0.92,Enrolled
9500,1,133,Portugal,123.2,0,0,0,1,0,0,18,0,13.28571429,13.33333333,16.2,0.3,-0.92,Graduate
9853,1,126,Portugal,126,1,0,0,1,0,0,19,0,13,10.4,7.6,2.6,0.32,Enrolled
9500,1,133.1,Portugal,121.7,0,0,0,1,0,1,27,0,12.6,11.68571429,12.4,0.5,1.79,Enrolled
9147,1,147,Portugal,142.8,1,0,1,0,0,1,19,0,12.8,12,11.1,0.6,2.02,Enrolled
9130,1,120,Portugal,120,1,0,0,1,0,0,21,0,11.5,11,15.5,2.8,-4.06,Dropout
9500,1,130,Portugal,119.3,1,0,0,1,0,1,19,0,11.4,11.4,10.8,1.4,1.74,Graduate
9238,1,120,Portugal,121,0,0,0,1,0,1,21,0,12.33333333,11.33333333,13.9,-0.3,0.79,Graduate
9773,1,138,Portugal,139.4,1,0,0,1,0,0,18,0,12.8,12.2,10.8,1.4,1.74,Graduate
9085,1,124,Portugal,113.9,1,0,0,1,0,1,20,0,12,15,12.7,3.7,-1.7,Graduate
9853,1,133,Portugal,124.6,1,0,0,1,0,1,18,0,13,13.5,9.4,-0.8,-3.12,Graduate
9070,1,122,Portugal,123.8,1,0,1,0,0,1,18,0,11.83333333,11,12.7,3.7,-1.7,Dropout
9085,1,138,Portugal,126.3,1,0,0,1,0,0,18,0,14,13.33333333,8.9,1.4,3.51,Graduate
9773,1,134,Portugal,120.4,1,0,0,1,0,1,18,0,12.33333333,13.5,16.2,0.3,-0.92,Graduate
9500,1,128,Portugal,120.5,1,0,0,1,0,1,19,0,13.04,12.5,12.4,0.5,1.79,Enrolled
9085,42,140,Portugal,144.9,1,0,1,0,0,0,23,0,13.16666667,13.33333333,8.9,1.4,3.51,Enrolled
9085,19,133.1,Portugal,139.9,1,0,0,1,0,1,24,0,12.5,12.83333333,8.9,1.4,3.51,Graduate
171,1,142,Portugal,133.3,1,0,0,1,0,0,19,0,0,0,10.8,1.4,1.74,Graduate
9500,1,141,Portugal,126,1,0,0,1,0,0,18,0,15.65714286,15.65714286,12.7,3.7,-1.7,Graduate
9070,1,145,Portugal,133.5,0,0,0,1,0,0,19,0,12.16666667,11.33333333,12.7,3.7,-1.7,Graduate
9853,1,145,Portugal,127.9,1,0,0,1,0,0,19,0,0,0,10.8,1.4,1.74,Dropout
9238,1,108,Portugal,105.9,0,0,0,1,0,1,20,0,10.6,11.16666667,11.1,0.6,2.02,Enrolled
9085,1,132,Portugal,124.3,0,0,0,1,0,0,20,0,13.42857143,12.66666667,13.9,-0.3,0.79,Enrolled
9773,1,140,Portugal,102.5,0,0,0,1,0,0,26,0,11.75,0,7.6,2.6,0.32,Dropout
9254,19,133.1,Portugal,97,0,0,1,0,1,0,36,0,0,0,15.5,2.8,-4.06,Dropout
171,1,128,Portugal,134.7,0,0,0,0,1,0,19,0,0,0,10.8,1.4,1.74,Dropout
9119,1,120,Portugal,113.8,0,0,0,0,1,0,27,0,0,0,15.5,2.8,-4.06,Dropout
9119,1,120,Portugal,116.9,0,0,0,1,1,0,18,0,13,0,8.9,1.4,3.51,Dropout
9500,1,139,Portugal,124,1,0,0,1,1,1,18,0,13.33142857,13.33142857,10.8,1.4,1.74,Graduate
9070,1,139.3,Portugal,117.5,0,0,0,1,1,0,28,0,0,0,12.4,0.5,1.79,Dropout
171,39,150,Portugal,154.8,1,0,0,1,1,0,21,0,0,0,12.4,0.5,1.79,Graduate
9500,1,138,Portugal,141,0,0,0,1,1,0,19,0,13.7,13.7,7.6,2.6,0.32,Graduate
9670,9,133.1,Portugal,120,0,0,1,0,1,0,26,0,0,0,9.4,-0.8,-3.12,Dropout
9119,1,136,Portugal,133.6,1,0,0,1,1,0,20,0,13.45454545,13.875,11.1,0.6,2.02,Dropout
9500,1,134,Portugal,122,1,0,0,1,1,0,19,0,12.2,12.2,12.7,3.7,-1.7,Graduate
9147,1,140,Portugal,120,1,0,0,1,1,0,21,0,10,11,12.7,3.7,-1.7,Dropout
9670,42,110,Portugal,114.2,0,0,0,1,1,1,23,0,13,12.85714286,8.9,1.4,3.51,Graduate
8014,38,133.1,Portugal,95.5,0,0,0,1,1,0,29,0,12,14,11.1,0.6,2.02,Graduate
9500,1,129,Portugal,120,0,0,0,1,1,0,20,0,15.02857143,15.02857143,12.7,3.7,-1.7,Graduate
9238,1,116,Portugal,111.1,0,0,0,1,1,0,18,0,12,11.71428571,15.5,2.8,-4.06,Graduate
9773,1,130,Portugal,128.6,1,0,0,1,1,0,19,0,12,12.4,9.4,-0.8,-3.12,Graduate
9556,3,130,Portugal,130,0,0,0,0,1,0,23,0,13.66666667,11.33333333,10.8,1.4,1.74,Dropout
171,1,116,Portugal,111.1,0,0,0,1,1,0,21,0,0,0,13.9,-0.3,0.79,Dropout
9147,1,136,Portugal,122.7,1,0,0,1,1,0,18,0,12,12.5,15.5,2.8,-4.06,Enrolled
171,1,147,Portugal,134.4,1,0,0,1,1,1,18,0,0,0,10.8,1.4,1.74,Graduate
9070,1,117,Portugal,131,1,0,1,0,1,0,21,0,14,0,9.4,-0.8,-3.12,Dropout
9238,1,141,Portugal,125,0,0,0,1,1,0,22,0,0,0,11.1,0.6,2.02,Dropout
9556,1,133.1,Portugal,106,1,0,0,1,1,0,21,0,12.375,12.58333333,8.9,1.4,3.51,Graduate
9500,1,133.1,Portugal,128,1,0,0,0,1,0,32,0,0,0,16.2,0.3,-0.92,Dropout
9003,3,120,Portugal,120,1,0,0,1,1,0,27,0,11.42105263,11.07692308,15.5,2.8,-4.06,Graduate
9500,1,148,Portugal,134.8,1,0,0,1,1,0,18,0,13.35,13.35,7.6,2.6,0.32,Graduate
9070,1,130,Portugal,112,1,0,0,1,1,1,24,0,15,16,15.5,2.8,-4.06,Graduate
9130,1,120,Portugal,116.1,1,0,0,1,1,0,22,0,10.5,0,12.7,3.7,-1.7,Dropout
9130,1,120,Portugal,120,1,0,0,0,1,0,22,0,0,0,10.8,1.4,1.74,Dropout
9147,1,133,Portugal,119.7,1,0,0,1,1,0,19,0,13.25,11.83333333,13.9,-0.3,0.79,Graduate
9119,1,129,Portugal,117.1,1,0,0,1,1,0,19,0,0,0,7.6,2.6,0.32,Dropout
9085,1,118,Portugal,112.4,1,0,0,1,1,0,21,0,11.5,10.6,10.8,1.4,1.74,Enrolled
9500,1,140,Portugal,131,1,0,0,1,0,1,18,0,13.88125,13.88125,9.4,-0.8,-3.12,Graduate
9254,1,127,Portugal,130.9,1,0,0,1,0,0,18,0,11.33333333,12.6,9.4,-0.8,-3.12,Graduate
171,1,131,Portugal,134.9,1,0,1,1,0,0,20,0,0,0,16.2,0.3,-0.92,Dropout
9238,1,132,Portugal,127.1,1,0,0,1,0,0,19,0,12.85714286,13.66666667,13.9,-0.3,0.79,Graduate
9773,1,113,Portugal,110.2,1,0,1,1,0,0,19,0,11.6,12.5,8.9,1.4,3.51,Graduate
9254,1,115,Portugal,108.7,1,0,0,1,0,1,18,0,11.4,11.33333333,12.4,0.5,1.79,Graduate
9130,1,133.1,Portugal,138,1,0,0,1,0,0,20,0,13.33333333,13,16.2,0.3,-0.92,Enrolled
9070,39,150,Portugal,147.7,0,0,1,1,0,1,22,0,13.57142857,13.77777778,12.4,0.5,1.79,Graduate
9556,19,133.1,Portugal,123,0,0,0,1,0,0,31,0,11.83333333,12.22857143,12.4,0.5,1.79,Graduate
9853,1,141,Portugal,142.8,0,0,0,1,0,1,19,0,14.42857143,14.14285714,16.2,0.3,-0.92,Graduate
171,1,140,Portugal,138.3,1,0,0,1,0,0,18,0,0,0,12.4,0.5,1.79,Enrolled
9254,1,136,Portugal,125.2,1,0,0,1,0,1,18,0,12.28571429,12.4,8.9,1.4,3.51,Graduate
9085,1,140,Portugal,141.8,0,0,0,1,0,0,21,0,14.4,13.8,7.6,2.6,0.32,Graduate
9500,1,143,Portugal,130.6,1,0,0,1,0,1,18,0,13.15,15.06875,13.9,-0.3,0.79,Graduate
9147,39,130,Cape Verde,130,0,0,1,0,1,0,25,1,0,0,15.5,2.8,-4.06,Dropout
9119,1,133.1,Brazil,100,0,0,1,1,1,0,21,1,0,0,11.1,0.6,2.02,Dropout
9500,1,129,Portugal,119,1,0,0,1,0,1,19,0,12.34285714,12.34285714,10.8,1.4,1.74,Graduate
9773,1,132,Portugal,124.3,1,0,0,1,0,0,19,0,12.2,10.8,10.8,1.4,1.74,Enrolled
9254,1,118,Portugal,122.2,1,0,0,1,0,0,22,0,10.5,11,7.6,2.6,0.32,Dropout
9147,1,150,Portugal,150,0,0,0,1,1,0,19,0,10.6,11.6,12.4,0.5,1.79,Graduate
8014,19,133.1,Portugal,135.5,0,0,0,1,0,0,58,0,0,0,11.1,0.6,2.02,Dropout
9238,1,122,Portugal,127.3,1,0,0,1,0,1,19,0,11.25,12,10.8,1.4,1.74,Graduate
9670,1,127,Cape Verde,127,1,0,0,1,1,0,23,1,10.5,11.7,9.4,-0.8,-3.12,Graduate
9773,1,122,Portugal,126.9,1,0,0,1,0,1,19,0,11,11.66666667,9.4,-0.8,-3.12,Enrolled
9500,1,131,Portugal,127.5,1,0,0,1,0,0,18,0,13.45714286,14.5125,13.9,-0.3,0.79,Graduate
9085,1,130,Portugal,122,0,0,0,1,0,0,20,0,12.6,12.33333333,7.6,2.6,0.32,Graduate
9085,1,130,Portugal,115.8,0,0,0,0,0,0,18,0,0,0,12.7,3.7,-1.7,Dropout
9670,1,130,Portugal,121.6,0,0,0,1,0,0,18,0,13.66666667,13.6,8.9,1.4,3.51,Graduate
9147,1,122,Portugal,116.4,1,0,1,1,0,1,18,0,11.6,11.8,11.1,0.6,2.02,Graduate
9130,1,114,Portugal,120,0,0,0,1,0,0,24,0,12.57142857,12.83333333,11.1,0.6,2.02,Dropout
9853,1,143,Portugal,127.3,1,0,0,1,0,0,18,0,11.8,11.4,10.8,1.4,1.74,Dropout
9147,1,127,Portugal,123.5,1,0,0,1,0,1,19,0,11.6,12.66666667,9.4,-0.8,-3.12,Enrolled
9238,1,141,Portugal,125.6,1,0,0,1,0,1,19,0,11.33333333,11.83333333,8.9,1.4,3.51,Graduate
9254,1,129,Portugal,118.5,1,0,0,1,0,0,18,0,10.66666667,11.5,7.6,2.6,0.32,Graduate
9130,1,140,Portugal,129.5,1,0,0,1,0,0,18,0,13.5,13.4,12.7,3.7,-1.7,Enrolled
171,1,137,Portugal,134.6,1,0,0,1,0,1,19,0,0,0,10.8,1.4,1.74,Graduate
9085,1,140,Portugal,140,0,0,0,1,0,0,22,0,13.33333333,11.5,13.9,-0.3,0.79,Graduate
9254,1,143,Portugal,133.2,1,0,0,1,0,0,19,0,13.4,13.5,10.8,1.4,1.74,Enrolled
9238,1,138,Portugal,133.5,1,0,0,1,0,1,21,0,10.2,12.25,12.7,3.7,-1.7,Enrolled
9773,1,120,Portugal,117.9,1,0,0,1,0,1,21,0,13,12.83333333,8.9,1.4,3.51,Graduate
9500,1,144,Portugal,128,1,0,0,1,0,1,18,0,12.90857143,12.90857143,10.8,1.4,1.74,Graduate
9853,1,123,Portugal,113.2,1,0,0,1,0,0,20,0,12,10,10.8,1.4,1.74,Dropout
9254,1,129,Portugal,122,1,0,0,1,0,1,18,0,10.83333333,11,7.6,2.6,0.32,Enrolled
9070,1,152,Portugal,156.9,1,0,0,1,0,0,19,0,15.33333333,15.83333333,12.7,3.7,-1.7,Graduate
